page	form_1937	form_1986	form1986_id	schmidt_form	nothofer_form	homonym_id_1937	crossref_1937	variant_1937	remark_1937	variant_1986	crossref_1986	remark_1986	remark_overall
70	edipudu uˀue	diˈpur diˀuˀˈyuː	1	diˈpur diˀuˀˈyuː									
70	epurudui	Nː pruˈruː, bruruˀ	1		pruˈruː , bruruˀ								
70	epurudui	puruˈruˀ	2	puruˈruˀ									
70	epurudui ūru	pururuˈyur, pruruˈyur	1	pururuˈyur , pruruˈyur									
71	epurúhui	puˈruh	1	puˈruh									
71	kaha·puˀu	kahˈpuˀ	1	kahˈpuˀ									
71	epũˀũ	puˀ	1	puˀ									
71	epũˀũ u[ˀ]abeha	puˀaˈbɛh	1	puˀaˈbɛh									
71	seruas bambu	kaha͜eˀˈpuˀ	1	kaha͜eˀˈpuˀ									
71	epũˀũ uae	Nː puˀea	1		puˀea								
71	ki·puˀuda	puˈˀud̚; Nː puˀur, puˀud	1	puˈˀud̚	puˀur , puˀud								
71	ki·puˀuda	uˀurhai	2	uˀurhai									
71	kipa·raha͜u	kipaˈrah	1	kipaˈrah									
71	kipa·raha͜u	Nː paraxhai	2		paraxhai								
71	kipa·rahəaha͜i	kiparahəˈah, parahəˈah	1	kiparahəˈah , parahəˈah									
71	kipa·rahəaha͜i	paraˈhəaha͜i, parahəˈahha͜i	2	paraˈhəaha͜i , parahəˈahha͜i									
71	pertunangan	ˀeaparaˈhəah	1	ˀeaparaˈhəah								Betonung?, ɛ?	
71	kipa·rixopi	p(a)riˈhəp; Nː parihəphai	1	p(a)riˈhəp	parihəphai								
71	ka·ripo[ripo]	Nː kariprip	1		kariprip								
71	ka·rō	kaˈrɔː	1	kaˈrɔː									
71	earō	yɔˈrɔˀ	1	yɔˈrɔˀ					?				
71	ˀa·rua	ˈaruː	1	ˈaruː								??	
71	kedua kali	kaˀaˈruː hiˈnuː	1	kaˀaˈruː hiˈnuː									
71	kipa·rudúˀui	kiːpruˈruˀ, ruˈruˀ	1	kiːpruˈruˀ , ruˈruˀ									
71	kipa·rupei	păruˈpɛː, pruˈpɛ	1	păruˈpɛː , pruˈpɛ									
71	kipa·rupei	Nː parupɛhai	2		parupɛhai								
71	kiparupeiaˀa	parpuyaˀ	1	parpuyaˀ									
71	kiparupeiaˀa	parupɛˈyaˀha͜i; Nː parpuyaˀhai	2	parupɛˈyaˀha͜i	parpuyaˀhai								
71	etakaː kaha͜iˀi etaka	kaha͜eˀˈtak	1	kaha͜eˀˈtak								ɛ?	
71	i·tebe	tɛb̚	1	tɛb̚									
71	i·topo	ˀiˈtɔp̚	1	ˀiˈtɔp̚									
71	ki·ˀū̃	Nː ũː	1		ũː								
71	ˀua	ˀu	1	ˀu		1							
71	saya sendiri	ˀukaˈhaeˀ; Nː u-kahaiˀ	1	ˀukaˈhaeˀ	u-kahaiˀ								
71	saya harus pergi	ˀuːkaˈhai	1	ˀuːkaˈhai									
71	ki·ˀua	kiˈˀuː, kahˈˀuː, kahəˈˀuː	1	kiˈˀuː , kahˈˀuː , kahəˈˀuː		2							
71	ki·ˀua	Nː ˀuha͜i	2		ˀuha͜i								
71	e·ũˀã	yɨ̃ˀ	1	yɨ̃ˀ									
71	euba	yub	1	yub									
71	euba ukẽˀẽpã	yub kɛˈˀɛp	1	yub kɛˈˀɛp									
71	eubaˀa͜u	yuˈbaˀ, yuˈbœˀ	1	yuˈbaˀ , yuˈbœˀ									
71	rumahnya besar	yubdiˀaˈmũh	1	yubdiˀaˈmũh									
71	epũhã ūba	pũhˈyub	1	pũhˈyub									
71	sarung pisau	yub ɛˈˀaː	1	yub ɛˈˀaː									
71	sepatu	Nː yubwa	1		yubwa								
72	rumah sirih	yub kiˈdiː	1	yub kiˈdiː									
72	eakaruba	bakaˈrub	1	bakaˈrub									
72	ixō ūba	ihɔˈyup	1	ihɔˈyup									
72	epẽã ūba	pɛ̃ˈyub, pɛ̃iˈyub	1	pɛ̃ˈyub , pɛ̃iˈyub									
72	di dalam rumah itu	iˈpœk yubˈˀan	1	iˈpœk yubˈˀan						yumbˈˀan			
72	euba ukixo	yubˈkih	1	yubˈkih									
72	dinding rumah	yũˈkũˀ yub	1	yũˈkũˀ yub									
72	rumah sirih	yub kiˈdiː	2	yub kiˈdiː									
72	belakang rumah	kəˈˀək yub	1	kəˈˀək yub									
72	di belakang rumah	kaˈhaː yub	1	kaˈhaː yub									
72	k[i]·ubai	kaˀkubaˈyaː	1	kaˀkubaˈyaː									
72	k[i]·ubai	Nː ˀaˀkubayahai	2		ˀaˀkubayahai								
72	°eˀubéˀe	°kahˀubɛˀ	1	°kahˀubɛˀ									
72	°eˀubéˀe	°ahˀubɛˀhai	2	°ahˀubɛˀhai									
72	ka·ˀuda͜ixo	kaˀdah, kaˀdaɛh, kaˀdaəh	1	kaˀdah , kaˀdaɛh , kaˀdaəh								ohne	
72	rambutnya putih	pururuˈyur kaˀˈdad̚	1	pururuˈyur kaˀˈdad̚									
72	ebō kaˀuda͜ixo	bœ kaˀbaˈriː	1	bœ kaˀbaˈriː									
72	eˀudopo	ˀuˈdəp	1	ˀuˈdəp									
72	ekũkã uˀudopo	kuk uˈdop	1	kuk uˈdop									
72	eˀue	yuː	1	yuː									
72	enãnā̃ uˀue	naːˈˀyu	1	naːˈˀyu									
72	edipudu uˀue	diˈpur diˀuˀˈyuː	1	diˈpur diˀuˀˈyuː									
